movieIdA,movieIdB,score
1,5,0.4
1,6,0.2857142857142857
1,2,0.2222222222222222
1,3,0.2222222222222222
1,4,0.09090909090909091
2,1,0.2222222222222222
2,6,0.18181818181818182
2,4,0.16666666666666666
2,3,0.10526315789473684
2,5,0.05128205128205128
3,1,0.2222222222222222
3,5,0.18181818181818182
3,6,0.15384615384615385
3,2,0.10526315789473684
3,4,0.06451612903225806
4,2,0.16666666666666666
4,6,0.10256410256410256
4,1,0.09090909090909091
4,3,0.06451612903225806
4,5,0.05333333333333334
5,1,0.4
5,3,0.18181818181818182
5,6,0.14814814814814814
5,4,0.05333333333333334
5,2,0.05128205128205128
6,1,0.2857142857142857
6,2,0.18181818181818182
6,3,0.15384615384615385
6,5,0.14814814814814814
6,4,0.10256410256410256
