movieIdA,movieIdB,score
1,29,1
1,7,0.8
1,11,0.8
1,25,0.8
1,18,0.6666666666666666
1,2,0.5
1,6,0.5
1,19,0.5
1,26,0.5
1,5,0.3333333333333333
1,12,0.3076923076923077
1,30,0.3076923076923077
1,13,0.18181818181818182
1,10,0.10526315789473684
1,17,0.1
1,28,0.1
1,15,0.07547169811320754
1,4,0.06451612903225806
1,9,0.058823529411764705
1,14,0.058823529411764705
1,24,0.05194805194805195
1,16,0.05128205128205128
1,8,0.047619047619047616
1,22,0.04597701149425287
1,3,0.0449438202247191
1,27,0.03418803418803419
1,20,0
1,21,0
1,23,0
2,5,1
2,10,0.8
2,22,0.8
2,1,0.5
2,12,0.5
2,16,0.5
2,29,0.5
2,6,0.4444444444444444
2,25,0.4444444444444444
2,24,0.3076923076923077
2,3,0.2
2,9,0.2
2,11,0.2
2,21,0.2
2,7,0.13793103448275862
2,15,0.1
2,17,0.1
2,30,0.1
2,13,0.0975609756097561
2,20,0.0975609756097561
2,4,0.08888888888888889
2,18,0.07407407407407407
2,14,0.07142857142857142
2,8,0.07017543859649122
2,19,0.058823529411764705
2,23,0.058823529411764705
2,28,0.043010752688172046
2,27,0.04081632653061224
2,26,0
3,17,0.8
3,19,0.8
3,16,0.5
3,2,0.2
3,28,0.19047619047619047
3,30,0.19047619047619047
3,27,0.15384615384615385
3,24,0.13793103448275862
3,25,0.12121212121212122
3,9,0.11764705882352941
3,5,0.1111111111111111
3,14,0.10526315789473684
3,21,0.10526315789473684
3,23,0.10526315789473684
3,4,0.09523809523809523
3,15,0.09523809523809523
3,22,0.09523809523809523
3,8,0.09090909090909091
3,6,0.08
3,20,0.07407407407407407
3,12,0.07142857142857142
3,26,0.06557377049180328
3,18,0.06153846153846154
3,11,0.05555555555555555
3,10,0.05405405405405406
3,13,0.05128205128205128
3,1,0.0449438202247191
3,7,0.04081632653061224
3,29,0.0380952380952381
4,24,0.8
4,16,0.5
4,17,0.5
4,19,0.5
4,30,0.5
4,27,0.4
4,28,0.36363636363636365
4,14,0.2222222222222222
4,7,0.13793103448275862
4,9,0.12121212121212122
4,15,0.11428571428571428
4,11,0.0975609756097561
4,3,0.09523809523809523
4,18,0.09090909090909091
4,25,0.09090909090909091
4,2,0.08888888888888889
4,21,0.08163265306122448
4,26,0.07017543859649122
4,1,0.06451612903225806
4,5,0.06153846153846154
4,23,0.057971014492753624
4,22,0.0547945205479452
4,8,0.05194805194805195
4,20,0.05194805194805195
4,6,0.05128205128205128
4,29,0.05128205128205128
4,13,0.047619047619047616
4,12,0.0449438202247191
4,10,0.03333333333333333
5,2,1
5,19,1
5,26,1
5,13,0.8
5,23,0.8
5,25,0.8
5,6,0.5
5,29,0.5
5,12,0.4444444444444444
5,18,0.4444444444444444
5,1,0.3333333333333333
5,15,0.3076923076923077
5,10,0.2222222222222222
5,17,0.2
5,16,0.13793103448275862
5,22,0.12903225806451613
5,3,0.1111111111111111
5,24,0.1
5,8,0.08333333333333333
5,9,0.08163265306122448
5,28,0.07142857142857142
5,4,0.06153846153846154
5,14,0.05263157894736842
5,27,0.039603960396039604
5,7,0
5,11,0
5,20,0
5,21,0
5,30,0
6,23,1
6,29,1
6,12,0.8
6,25,0.6666666666666666
6,1,0.5
6,5,0.5
6,19,0.5
6,21,0.5
6,30,0.5
6,2,0.4444444444444444
6,18,0.4444444444444444
6,11,0.2857142857142857
6,20,0.2
6,7,0.16666666666666666
6,17,0.16666666666666666
6,10,0.15384615384615385
6,13,0.13793103448275862
6,16,0.13793103448275862
6,15,0.10526315789473684
6,22,0.10526315789473684
6,24,0.09090909090909091
6,9,0.08163265306122448
6,3,0.08
6,28,0.07547169811320754
6,8,0.07142857142857142
6,4,0.05128205128205128
6,14,0.04938271604938271
6,27,0.035398230088495575
6,26,0
7,17,1
7,19,1
7,1,0.8
7,18,0.5
7,23,0.5
7,25,0.3076923076923077
7,10,0.2
7,6,0.16666666666666666
7,30,0.16666666666666666
7,9,0.16
7,28,0.16
7,24,0.14285714285714285
7,27,0.14285714285714285
7,2,0.13793103448275862
7,4,0.13793103448275862
7,11,0.13333333333333333
7,14,0.13333333333333333
7,16,0.1
7,22,0.1
7,29,0.0975609756097561
7,21,0.08888888888888889
7,26,0.08163265306122448
7,13,0.07142857142857142
7,20,0.07142857142857142
7,15,0.05063291139240506
7,3,0.04081632653061224
7,5,0
7,8,0
7,12,0
8,24,1
8,20,0.8
8,30,0.8
8,13,0.6666666666666666
8,23,0.6666666666666666
8,22,0.5714285714285714
8,26,0.5
8,17,0.4444444444444444
8,11,0.3076923076923077
8,21,0.3076923076923077
8,10,0.2857142857142857
8,29,0.2
8,9,0.13793103448275862
8,15,0.13793103448275862
8,16,0.13333333333333333
8,19,0.0975609756097561
8,3,0.09090909090909091
8,5,0.08333333333333333
8,12,0.08163265306122448
8,6,0.07142857142857142
8,2,0.07017543859649122
8,25,0.06451612903225806
8,28,0.0547945205479452
8,4,0.05194805194805195
8,18,0.05194805194805195
8,1,0.047619047619047616
8,14,0.047619047619047616
8,27,0.047058823529411764
8,7,0
9,16,0.8
9,25,0.5
9,29,0.5
9,21,0.4444444444444444
9,24,0.4444444444444444
9,17,0.3333333333333333
9,30,0.3333333333333333
9,26,0.23529411764705882
9,14,0.2222222222222222
9,15,0.2222222222222222
9,2,0.2
